stage_name,status,attempt_index,minimization_max_iterations,step_count,duration_ps,potential_energy_kj_per_mol,temperature_K,box_volume_nm3,notes
minimization,success,1,200,0,0.0,-28116.221905678383,,,platform=CPU; properties=Threads=16; temperature_target_K=298; pressure_atm=1.0; periodicized_npt_box_nm=5.927x5.609x5.825; nonbonded_periodicized=True
nvt,success,1,200,10000,20.0,-25990.615442415343,299.9299349597078,,platform=CPU; properties=Threads=16; temperature_target_K=298; pressure_atm=1.0; periodicized_npt_box_nm=5.927x5.609x5.825; nonbonded_periodicized=True
npt,success,1,200,10000,20.0,-5929.572956971373,300.8564634205055,209.652021030584,platform=CPU; properties=Threads=16; temperature_target_K=298; pressure_atm=1.0; periodicized_npt_box_nm=5.927x5.609x5.825; nonbonded_periodicized=True
