#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-6432.214629610729,5142.070918909744,-1290.1437107009851,296.0502533336474,180.01737492022718
1000,2.0000000000000013,-6420.648072969329,5230.3267355667695,-1190.32133740256,301.13150508834315,185.26465757318257
1500,2.999999999999891,-6437.960538653947,5076.898345250723,-1361.0621934032242,292.2979991842141,188.10306429275158
2000,3.999999999999781,-6397.768722124101,5300.819349203907,-1096.949372920194,305.1900559046455,189.60023255145146
2500,4.999999999999671,-6666.57915990356,5150.372044831279,-1516.2071150722813,296.52818342655746,188.82275168917124
3000,5.999999999999561,-6238.889169808415,5113.845045616987,-1125.0441241914286,294.4251732694743,189.66493859852778
3500,6.999999999999451,-6391.466411022021,5256.824332682985,-1134.6420783390358,302.657081157343,187.42284381643702
4000,7.999999999999341,-6396.319296569176,5255.508869512168,-1140.8104270570084,302.5813445113276,188.00924633114343
4500,8.999999999999675,-6623.60203035124,5201.831130749955,-1421.7708996012843,299.4908954666652,188.9159530967483
5000,10.000000000000009,-6583.974468051066,5219.880923588394,-1364.093544462672,300.530096564182,187.9226260475158
5500,11.000000000000343,-6349.755677780968,5133.016932377244,-1216.7387454037234,295.5289779469605,187.4711585239401
6000,12.000000000000677,-6528.268119164829,5342.3785304961975,-1185.8895886686314,307.582789560783,184.79312673804876
6500,13.00000000000101,-6482.857680398771,5465.287221148085,-1017.5704592506854,314.65915034580956,181.95720079456498
7000,14.000000000001345,-6606.062345028583,5149.75807932659,-1456.3042657019932,296.49283489751775,181.73661689855973
7500,15.000000000001679,-6541.156897586339,5173.791717128975,-1367.3651804573647,297.8765506556493,179.59909003682358
8000,16.00000000000201,-6667.049300404051,5276.087868003494,-1390.961432400557,303.7661624208405,182.0265228267179
8500,17.000000000001457,-6577.446271426698,5122.044128242047,-1455.4021431846513,294.89722830849104,183.86792318408877
9000,18.000000000000902,-6607.606203420094,5247.91434286659,-1359.6918605535038,302.1440962561345,185.55490791911873
9500,19.000000000000348,-6670.493052459048,5100.351303870995,-1570.141748588053,293.64828284432895,183.53187532220525
10000,19.999999999999794,-6497.34226148674,4956.011158270523,-1541.3311032162173,285.3380247119312,183.88345836843627
10500,20.99999999999924,-6700.770702747774,5205.268793678536,-1495.5019090692376,299.6888159148526,183.29002468601814
11000,21.999999999998685,-6711.062148780171,5212.076126706716,-1498.9860220734545,300.0807421833349,183.75439190111487
11500,22.99999999999813,-6661.476894012252,5140.771875137034,-1520.7050188752182,295.9754620201732,183.8774052330563
12000,23.999999999997577,-6539.381016358491,5133.648420394022,-1405.7325959644695,295.56533531936793,184.3821381137922
12500,24.999999999997023,-6687.086465099141,5175.500656076595,-1511.5858090225456,297.97494132671414,185.22279352462684
13000,25.99999999999647,-6545.529680750045,5106.807708429217,-1438.7219723208282,294.02000471188563,184.06123031817444
13500,26.999999999995914,-6479.494342754962,5223.259356664459,-1256.2349860905033,300.7246069052124,185.79162781898322
14000,27.99999999999536,-6597.655702765394,5263.238776547794,-1334.4169262176001,303.02638717453294,186.22584972822924
14500,28.999999999994806,-6387.328426698448,4989.039088278586,-1398.2893384198624,287.2395790078891,183.98032685541367
15000,29.99999999999425,-6422.172166538379,5199.465553909763,-1222.7066126286163,299.3546994410049,182.0977122638398
15500,30.999999999993697,-6482.478247019559,5259.592041256716,-1222.886205762843,302.81642956722067,184.34298807332232
16000,31.999999999993143,-6529.631971063441,5333.743887328294,-1195.8880837351471,307.08565750297674,182.07102336596856
16500,32.999999999994365,-6675.736325094953,5038.488248288284,-1637.248076806669,290.08657131485467,180.70465175244107
17000,33.99999999999559,-6673.025592815901,5221.933296351806,-1451.092296464095,300.64826013798813,179.07957047411352
17500,34.99999999999681,-6550.814309088719,5095.256724947149,-1455.5575841415694,293.35496690123557,179.38481447056114
18000,35.99999999999803,-6611.413908667304,5128.2178273782765,-1483.1960812890275,295.25267365767223,177.9235044960275
18500,36.999999999999254,-6289.214499906042,5296.937903557845,-992.276596348197,304.9665850531269,176.44263207095267
19000,38.000000000000476,-6409.492099006483,5146.698510046801,-1262.793588959682,296.3166828617607,176.28039813930678
19500,39.0000000000017,-6742.570761769744,5188.512650059722,-1554.0581117100228,298.724095544116,174.28733114861012
20000,40.00000000000292,-6640.833784694203,5208.048716771265,-1432.7850679229377,299.8488675650203,171.5027502719674
20500,41.00000000000414,-6416.706016130386,5143.0753809568505,-1273.6306351735357,296.10808436091236,172.15706734291282
21000,42.000000000005365,-6481.7695078763045,5226.421522758149,-1255.3479851181555,300.90666586314654,173.01212260853055
21500,43.00000000000659,-6778.417547621617,5021.824046835001,-1756.5935007866156,289.12714443419753,168.94857775981458
22000,44.00000000000781,-6777.016238869481,5032.068654374848,-1744.9475844946328,289.7169687881017,168.30840266699124
22500,45.00000000000903,-6436.521675121297,5301.6223389365805,-1134.899336184717,305.2362873389316,170.24727960115635
23000,46.00000000001025,-6306.772692184133,5078.661288480624,-1228.1114037035095,292.39949910478225,170.19772662797436
23500,47.000000000011475,-6454.5194829450265,5165.627535898818,-1288.8919470462088,297.4065050340377,171.02731774558129
24000,48.0000000000127,-6532.960188927853,5150.068767553812,-1382.8914213740409,296.51072250152544,167.80662992543222
24500,49.00000000001392,-6675.730363396273,5265.025025168622,-1410.7053382276508,303.12922888267985,165.6295113174717
25000,50.00000000001514,-6703.389579931245,5384.494030876993,-1318.8955490542521,310.00755280377064,164.00190971094912
25500,51.000000000016364,-6639.34614145856,4917.105244819335,-1722.240896639225,283.0980506401922,166.5154341884298
26000,52.000000000017586,-6701.527643032262,5158.716347683124,-1542.8112953491382,297.008599393614,166.2430690476507
26500,53.00000000001881,-6591.821453807608,4909.49092959103,-1682.330524216578,282.65966307458854,167.7583657794065
27000,54.00000000002003,-6815.348282544384,5177.992947335227,-1637.3553352091576,298.1184328246213,165.53337295391282
27500,55.00000000002125,-6650.002311678698,5122.164447113945,-1527.8378645647526,294.9041555627176,160.54927064064432
28000,56.000000000022474,-6630.915910205038,5269.00861109124,-1361.9072991137982,303.3585803716354,158.63482741134231
28500,57.0000000000237,-6722.878347162532,5207.218455639183,-1515.659891523349,299.8010660036723,158.69087563877252
29000,58.00000000002492,-6755.503893213194,5162.625906161139,-1592.8779870520548,297.23368881694006,160.075185074409
29500,59.00000000002614,-6664.800067256019,5204.495967471717,-1460.3040997843018,299.64432111928886,161.10493775917863
30000,60.00000000002736,-6551.571243786002,5246.355912619534,-1305.2153311664679,302.0543709923799,159.93940131530888
30500,61.000000000028585,-6489.651204019956,5422.329167362742,-1067.322036657214,312.1858778245959,158.6289361561546
31000,62.00000000002981,-6464.035392061958,5171.759906759492,-1292.2754853024662,297.7595709437594,157.53441563638938
31500,63.00000000003103,-6563.755916092494,5105.265155929215,-1458.4907601632785,293.93119359558483,158.16585126524126
32000,64.00000000003224,-6625.141667330328,5167.7125413800695,-1457.4291259502588,297.52654740814353,160.42110571894656
32500,65.00000000002991,-6507.714447250594,5154.30212244612,-1353.4123248044743,296.7544542213098,154.31568699146055
33000,66.00000000002758,-6563.8062083975465,5142.497400997217,-1421.30880740033,296.0748076682782,152.92553817213212
33500,67.00000000002525,-6490.509522512092,5118.445269005273,-1372.064253506819,294.6900271232952,150.8884405776909
34000,68.00000000002292,-6500.921720651633,5155.867325745499,-1345.054394906134,296.84456943765116,150.00542618307475
34500,69.00000000002059,-6425.352804018069,5079.298594597271,-1346.0542094207976,292.43619144922087,149.21561969143653
35000,70.00000000001826,-6608.8466970040245,5100.511159802422,-1508.3355372016022,293.65748641031274,148.2772459688904
35500,71.00000000001593,-6765.784177110869,5212.488510462258,-1553.2956666486107,300.10448481878745,148.35490624613618
36000,72.0000000000136,-6579.832549509114,5291.5909699311205,-1288.2415795779934,304.65874000786926,150.1312283581944
36500,73.00000000001127,-6624.955331195792,5078.480848610667,-1546.4744825851249,292.3891104364705,149.7526053991075
37000,74.00000000000894,-6715.348195446806,5145.429632908781,-1569.918562538025,296.2436283659974,148.07321424345835
37500,75.00000000000661,-6620.692321957405,5184.939867044203,-1435.7524549132013,298.51839567464106,146.4256554721718
38000,76.00000000000428,-6554.762386063766,5194.317171933281,-1360.4452141304846,299.05828583402985,147.2927033390377
38500,77.00000000000195,-6850.825771974999,5271.025488119727,-1579.800283855272,303.4747003094276,147.38048476555795
39000,77.99999999999962,-6664.3597314858835,5038.087375498482,-1626.2723559874012,290.06349141322613,146.55566357486427
39500,78.99999999999729,-6503.392862679346,5123.939352447131,-1379.4535102322152,295.00634419096076,143.9235052699768
40000,79.99999999999496,-6655.7836159498875,5207.620416849411,-1448.163199100476,299.8242085701587,143.02761268849565
40500,80.99999999999262,-6597.199888468332,5052.74904732177,-1544.4508411465613,290.9076243950597,144.68361967655147
