stage_name,status,attempt_index,minimization_max_iterations,step_count,duration_ps,potential_energy_kj_per_mol,temperature_K,box_volume_nm3,notes
minimization,success,1,200,0,0.0,-31427.361479888958,,,platform=CPU; properties=Threads=16; temperature_target_K=298; pressure_atm=1.0; periodicized_npt_box_nm=5.650x5.587x6.507; nonbonded_periodicized=True
nvt,success,1,200,10000,20.0,-29537.146202735414,300.1163115662046,,platform=CPU; properties=Threads=16; temperature_target_K=298; pressure_atm=1.0; periodicized_npt_box_nm=5.650x5.587x6.507; nonbonded_periodicized=True
npt,success,1,200,10000,20.0,-9715.597516302307,304.6396454994577,212.03475879658635,platform=CPU; properties=Threads=16; temperature_target_K=298; pressure_atm=1.0; periodicized_npt_box_nm=5.650x5.587x6.507; nonbonded_periodicized=True
