stage_name,status,attempt_index,minimization_max_iterations,step_count,duration_ps,potential_energy_kj_per_mol,temperature_K,box_volume_nm3,notes
minimization,success,1,200,0,0.0,-99664.17666488551,,,platform=CPU; properties=Threads=16; temperature_target_K=298; pressure_atm=1.0; periodicized_npt_box_nm=8.452x7.514x9.054; nonbonded_periodicized=True
nvt,success,1,200,10000,20.0,-92173.68860528182,302.96675019499975,,platform=CPU; properties=Threads=16; temperature_target_K=298; pressure_atm=1.0; periodicized_npt_box_nm=8.452x7.514x9.054; nonbonded_periodicized=True
npt,success,1,200,10000,20.0,-26442.081835039615,296.4727223463094,548.136356423115,platform=CPU; properties=Threads=16; temperature_target_K=298; pressure_atm=1.0; periodicized_npt_box_nm=8.452x7.514x9.054; nonbonded_periodicized=True
