step,time_ps,coordination_number,mean_metal_oxygen_distance_A,bias_potential_kj_per_mol,escape_condition_met
0,0.0,6.646813851014903,1.932319635227008,0.0,FALSE
500,1.0,6.430960809184196,1.9053031464561154,1.7132249303448461,FALSE
1000,2.0,6.560212493992291,1.9250922107601318,3.559209964087003,FALSE
1500,3.0,6.559746972011946,1.9254348674793442,5.125099184068583,FALSE
2000,4.0,6.580229069063421,1.9180330730842485,6.5582550476403485,FALSE
2500,5.0,6.502673901483363,1.9147176590285158,7.639032974576611,FALSE
3000,6.0,6.447757029331618,1.908330693556783,8.353186943204248,FALSE
3500,7.0,6.540316584632361,1.9271699436457874,10.229989536807393,FALSE
4000,8.0,6.6263095011184285,1.9233563727304972,10.942122284179087,FALSE
4500,9.0,6.655441708553769,1.92470801030451,11.593278363964348,FALSE
5000,10.0,6.6124034631834245,1.9216100328668504,13.109449659514526,FALSE
5500,11.0,6.503356443765699,1.9260334915849704,13.756906904662749,FALSE
6000,12.0,6.540611990960168,1.9208717834284859,14.994746775385888,FALSE
6500,13.0,6.45047018222124,1.9126778467547982,14.428447752726065,FALSE
7000,14.0,6.489799665651678,1.9304431785614509,16.084553098709954,FALSE
7500,15.0,6.6171121788841845,1.9306013540418885,17.010974862440197,FALSE
8000,16.0,6.5284033946011455,1.9278705007157468,18.015025033704795,FALSE
8500,17.0,6.4898491347083676,1.923966333092602,18.20947300918092,FALSE
9000,18.0,6.598782072420613,1.9290945460876499,19.267710081611387,FALSE
9500,19.0,6.5685095281521,1.918741337682523,20.13265496275225,FALSE
10000,20.0,6.548927077684662,1.9287311296828078,20.765253847084598,FALSE
10500,21.0,6.578667115564575,1.9141538327314653,21.291017800693847,FALSE
11000,22.0,6.575268787641495,1.9240471461667896,21.908019251924078,FALSE
11500,23.0,6.563547391667745,1.9148807663645218,22.499115165211744,FALSE
12000,24.0,6.554113845828473,1.9206243288506022,23.059899781698554,FALSE
12500,25.0,6.572040874306664,1.9340458206952105,23.512925308967972,FALSE
13000,26.0,6.583283932726181,1.9234448372391135,23.979374579184974,FALSE
13500,27.0,6.592534022902177,1.918566687157576,24.36845288422757,FALSE
14000,28.0,6.590096173935064,1.9220730946057962,24.879792428634662,FALSE
14500,29.0,6.616594301604934,1.9210947042216167,24.897956583701355,FALSE
15000,30.0,6.480308007415991,1.9075124116952793,24.78986038023133,FALSE
15500,31.0,6.508119080259876,1.9072160155790092,25.898962489789273,FALSE
16000,32.0,6.548134012236778,1.9217525442659624,26.881555363021757,FALSE
16500,33.0,6.570790507384326,1.9217868334259902,27.279910592374797,FALSE
17000,34.0,6.552519887307226,1.9345927143546569,27.677964082494814,FALSE
17500,35.0,6.48484068174825,1.912832741807362,27.103563232838443,FALSE
18000,36.0,6.662952098564184,1.9333126483094374,26.11102590643482,FALSE
18500,37.0,6.573502777187864,1.9126128109617442,28.83611174128437,FALSE
