stage_name,status,attempt_index,minimization_max_iterations,step_count,duration_ps,potential_energy_kj_per_mol,temperature_K,box_volume_nm3,notes
minimization,success,1,200,0,0.0,-28508.769877391704,,,platform=CPU; properties=Threads=16; temperature_target_K=298; pressure_atm=1.0; periodicized_npt_box_nm=5.162x5.886x5.804; nonbonded_periodicized=True
nvt,success,1,200,10000,20.0,-25820.524165984756,305.00953443771095,,platform=CPU; properties=Threads=16; temperature_target_K=298; pressure_atm=1.0; periodicized_npt_box_nm=5.162x5.886x5.804; nonbonded_periodicized=True
npt,success,1,200,10000,20.0,-5431.124562471868,296.58449048856255,165.93687406405644,platform=CPU; properties=Threads=16; temperature_target_K=298; pressure_atm=1.0; periodicized_npt_box_nm=5.162x5.886x5.804; nonbonded_periodicized=True
