panel_rank,panel_member_id,panel_member_type,panel_role,candidate_id,backbone_id,topology_class,target_metal,source_structure,metal_site_template_source,starting_structure_path,system_metadata_path,metal_site_count,preserved_solvent_residue_count,replicate_count,target_temperature_K,suggested_collective_variables
3,hans_pocket_ss_only_u02,designed_candidate,hans_pocket_designed_candidate,hans_pocket_ss_only_u02,hans_pocket_8fnr_chain_a,hans_monomer,Nd,results/ligandmpnn_smoke/hans_pocket_ss_only_u02/packed/hans_pocket_ss_only_u02_packed_2_1.pdb,results/ligandmpnn_smoke/hans_pocket_ss_only_u02/packed/hans_pocket_ss_only_u02_packed_2_1.pdb,results/md_inputs/hans_pocket_ss_only_u02/Nd/starting_structure.pdb,results/md_inputs/hans_pocket_ss_only_u02/Nd/system_metadata.yaml,4,0,3,298,"coordination_number,mean_metal_oxygen_distance"
3,hans_pocket_ss_only_u02,designed_candidate,hans_pocket_designed_candidate,hans_pocket_ss_only_u02,hans_pocket_8fnr_chain_a,hans_monomer,Y,results/ligandmpnn_smoke/hans_pocket_ss_only_u02/packed/hans_pocket_ss_only_u02_packed_2_1.pdb,results/ligandmpnn_smoke/hans_pocket_ss_only_u02/packed/hans_pocket_ss_only_u02_packed_2_1.pdb,results/md_inputs/hans_pocket_ss_only_u02/Y/starting_structure.pdb,results/md_inputs/hans_pocket_ss_only_u02/Y/system_metadata.yaml,4,0,3,298,"coordination_number,mean_metal_oxygen_distance"
3,hans_pocket_ss_only_u02,designed_candidate,hans_pocket_designed_candidate,hans_pocket_ss_only_u02,hans_pocket_8fnr_chain_a,hans_monomer,Al,results/ligandmpnn_smoke/hans_pocket_ss_only_u02/packed/hans_pocket_ss_only_u02_packed_2_1.pdb,results/ligandmpnn_smoke/hans_pocket_ss_only_u02/packed/hans_pocket_ss_only_u02_packed_2_1.pdb,results/md_inputs/hans_pocket_ss_only_u02/Al/starting_structure.pdb,results/md_inputs/hans_pocket_ss_only_u02/Al/system_metadata.yaml,4,0,3,298,"coordination_number,mean_metal_oxygen_distance"
3,hans_pocket_ss_only_u02,designed_candidate,hans_pocket_designed_candidate,hans_pocket_ss_only_u02,hans_pocket_8fnr_chain_a,hans_monomer,Fe,results/ligandmpnn_smoke/hans_pocket_ss_only_u02/packed/hans_pocket_ss_only_u02_packed_2_1.pdb,results/ligandmpnn_smoke/hans_pocket_ss_only_u02/packed/hans_pocket_ss_only_u02_packed_2_1.pdb,results/md_inputs/hans_pocket_ss_only_u02/Fe/starting_structure.pdb,results/md_inputs/hans_pocket_ss_only_u02/Fe/system_metadata.yaml,4,0,3,298,"coordination_number,mean_metal_oxygen_distance"
4,hans_interface_ss_plus_if_u04,designed_candidate,hans_interface_aware_candidate,hans_interface_ss_plus_if_u04,hans_interface_8fnr_a_b_c_d,hans_interface_multichain,Dy,results/ligandmpnn_smoke/hans_interface_ss_plus_if_u04/packed/hans_interface_ss_plus_if_u04_packed_2_1.pdb,results/ligandmpnn_smoke/hans_interface_ss_plus_if_u04/packed/hans_interface_ss_plus_if_u04_packed_2_1.pdb,results/md_inputs/hans_interface_ss_plus_if_u04/Dy/starting_structure.pdb,results/md_inputs/hans_interface_ss_plus_if_u04/Dy/system_metadata.yaml,14,0,3,298,"coordination_number,mean_metal_oxygen_distance"
4,hans_interface_ss_plus_if_u04,designed_candidate,hans_interface_aware_candidate,hans_interface_ss_plus_if_u04,hans_interface_8fnr_a_b_c_d,hans_interface_multichain,Nd,results/ligandmpnn_smoke/hans_interface_ss_plus_if_u04/packed/hans_interface_ss_plus_if_u04_packed_2_1.pdb,results/ligandmpnn_smoke/hans_interface_ss_plus_if_u04/packed/hans_interface_ss_plus_if_u04_packed_2_1.pdb,results/md_inputs/hans_interface_ss_plus_if_u04/Nd/starting_structure.pdb,results/md_inputs/hans_interface_ss_plus_if_u04/Nd/system_metadata.yaml,14,0,3,298,"coordination_number,mean_metal_oxygen_distance"
4,hans_interface_ss_plus_if_u04,designed_candidate,hans_interface_aware_candidate,hans_interface_ss_plus_if_u04,hans_interface_8fnr_a_b_c_d,hans_interface_multichain,Y,results/ligandmpnn_smoke/hans_interface_ss_plus_if_u04/packed/hans_interface_ss_plus_if_u04_packed_2_1.pdb,results/ligandmpnn_smoke/hans_interface_ss_plus_if_u04/packed/hans_interface_ss_plus_if_u04_packed_2_1.pdb,results/md_inputs/hans_interface_ss_plus_if_u04/Y/starting_structure.pdb,results/md_inputs/hans_interface_ss_plus_if_u04/Y/system_metadata.yaml,14,0,3,298,"coordination_number,mean_metal_oxygen_distance"
4,hans_interface_ss_plus_if_u04,designed_candidate,hans_interface_aware_candidate,hans_interface_ss_plus_if_u04,hans_interface_8fnr_a_b_c_d,hans_interface_multichain,Al,results/ligandmpnn_smoke/hans_interface_ss_plus_if_u04/packed/hans_interface_ss_plus_if_u04_packed_2_1.pdb,results/ligandmpnn_smoke/hans_interface_ss_plus_if_u04/packed/hans_interface_ss_plus_if_u04_packed_2_1.pdb,results/md_inputs/hans_interface_ss_plus_if_u04/Al/starting_structure.pdb,results/md_inputs/hans_interface_ss_plus_if_u04/Al/system_metadata.yaml,14,0,3,298,"coordination_number,mean_metal_oxygen_distance"
4,hans_interface_ss_plus_if_u04,designed_candidate,hans_interface_aware_candidate,hans_interface_ss_plus_if_u04,hans_interface_8fnr_a_b_c_d,hans_interface_multichain,Fe,results/ligandmpnn_smoke/hans_interface_ss_plus_if_u04/packed/hans_interface_ss_plus_if_u04_packed_2_1.pdb,results/ligandmpnn_smoke/hans_interface_ss_plus_if_u04/packed/hans_interface_ss_plus_if_u04_packed_2_1.pdb,results/md_inputs/hans_interface_ss_plus_if_u04/Fe/starting_structure.pdb,results/md_inputs/hans_interface_ss_plus_if_u04/Fe/system_metadata.yaml,14,0,3,298,"coordination_number,mean_metal_oxygen_distance"
5,hans_interface_wt_reference,wild_type_reference,hans_wild_type_reference,hans_interface_wt_reference,hans_interface_8fnr_a_b_c_d,hans_interface_multichain,Dy,results/design_inputs/proteinmpnn/backbones/hans_interface_8fnr_a_b_c_d.pdb,data/raw/public/structures/8FNR.cif,results/md_inputs/hans_interface_wt_reference/Dy/starting_structure.pdb,results/md_inputs/hans_interface_wt_reference/Dy/system_metadata.yaml,14,40,3,298,"coordination_number,mean_metal_oxygen_distance"
5,hans_interface_wt_reference,wild_type_reference,hans_wild_type_reference,hans_interface_wt_reference,hans_interface_8fnr_a_b_c_d,hans_interface_multichain,Nd,results/design_inputs/proteinmpnn/backbones/hans_interface_8fnr_a_b_c_d.pdb,data/raw/public/structures/8FNR.cif,results/md_inputs/hans_interface_wt_reference/Nd/starting_structure.pdb,results/md_inputs/hans_interface_wt_reference/Nd/system_metadata.yaml,14,40,3,298,"coordination_number,mean_metal_oxygen_distance"
5,hans_interface_wt_reference,wild_type_reference,hans_wild_type_reference,hans_interface_wt_reference,hans_interface_8fnr_a_b_c_d,hans_interface_multichain,Y,results/design_inputs/proteinmpnn/backbones/hans_interface_8fnr_a_b_c_d.pdb,data/raw/public/structures/8FNR.cif,results/md_inputs/hans_interface_wt_reference/Y/starting_structure.pdb,results/md_inputs/hans_interface_wt_reference/Y/system_metadata.yaml,14,40,3,298,"coordination_number,mean_metal_oxygen_distance"
5,hans_interface_wt_reference,wild_type_reference,hans_wild_type_reference,hans_interface_wt_reference,hans_interface_8fnr_a_b_c_d,hans_interface_multichain,Al,results/design_inputs/proteinmpnn/backbones/hans_interface_8fnr_a_b_c_d.pdb,data/raw/public/structures/8FNR.cif,results/md_inputs/hans_interface_wt_reference/Al/starting_structure.pdb,results/md_inputs/hans_interface_wt_reference/Al/system_metadata.yaml,14,40,3,298,"coordination_number,mean_metal_oxygen_distance"
5,hans_interface_wt_reference,wild_type_reference,hans_wild_type_reference,hans_interface_wt_reference,hans_interface_8fnr_a_b_c_d,hans_interface_multichain,Fe,results/design_inputs/proteinmpnn/backbones/hans_interface_8fnr_a_b_c_d.pdb,data/raw/public/structures/8FNR.cif,results/md_inputs/hans_interface_wt_reference/Fe/starting_structure.pdb,results/md_inputs/hans_interface_wt_reference/Fe/system_metadata.yaml,14,40,3,298,"coordination_number,mean_metal_oxygen_distance"
6,hans_interface_ss_plus_if_u02,designed_candidate,best_remaining_designed_candidate,hans_interface_ss_plus_if_u02,hans_interface_8fnr_a_b_c_d,hans_interface_multichain,Dy,results/ligandmpnn_smoke/hans_interface_ss_plus_if_u02/packed/hans_interface_ss_plus_if_u02_packed_2_1.pdb,results/ligandmpnn_smoke/hans_interface_ss_plus_if_u02/packed/hans_interface_ss_plus_if_u02_packed_2_1.pdb,results/md_inputs/hans_interface_ss_plus_if_u02/Dy/starting_structure.pdb,results/md_inputs/hans_interface_ss_plus_if_u02/Dy/system_metadata.yaml,14,0,3,298,"coordination_number,mean_metal_oxygen_distance"
6,hans_interface_ss_plus_if_u02,designed_candidate,best_remaining_designed_candidate,hans_interface_ss_plus_if_u02,hans_interface_8fnr_a_b_c_d,hans_interface_multichain,Nd,results/ligandmpnn_smoke/hans_interface_ss_plus_if_u02/packed/hans_interface_ss_plus_if_u02_packed_2_1.pdb,results/ligandmpnn_smoke/hans_interface_ss_plus_if_u02/packed/hans_interface_ss_plus_if_u02_packed_2_1.pdb,results/md_inputs/hans_interface_ss_plus_if_u02/Nd/starting_structure.pdb,results/md_inputs/hans_interface_ss_plus_if_u02/Nd/system_metadata.yaml,14,0,3,298,"coordination_number,mean_metal_oxygen_distance"
6,hans_interface_ss_plus_if_u02,designed_candidate,best_remaining_designed_candidate,hans_interface_ss_plus_if_u02,hans_interface_8fnr_a_b_c_d,hans_interface_multichain,Y,results/ligandmpnn_smoke/hans_interface_ss_plus_if_u02/packed/hans_interface_ss_plus_if_u02_packed_2_1.pdb,results/ligandmpnn_smoke/hans_interface_ss_plus_if_u02/packed/hans_interface_ss_plus_if_u02_packed_2_1.pdb,results/md_inputs/hans_interface_ss_plus_if_u02/Y/starting_structure.pdb,results/md_inputs/hans_interface_ss_plus_if_u02/Y/system_metadata.yaml,14,0,3,298,"coordination_number,mean_metal_oxygen_distance"
6,hans_interface_ss_plus_if_u02,designed_candidate,best_remaining_designed_candidate,hans_interface_ss_plus_if_u02,hans_interface_8fnr_a_b_c_d,hans_interface_multichain,Al,results/ligandmpnn_smoke/hans_interface_ss_plus_if_u02/packed/hans_interface_ss_plus_if_u02_packed_2_1.pdb,results/ligandmpnn_smoke/hans_interface_ss_plus_if_u02/packed/hans_interface_ss_plus_if_u02_packed_2_1.pdb,results/md_inputs/hans_interface_ss_plus_if_u02/Al/starting_structure.pdb,results/md_inputs/hans_interface_ss_plus_if_u02/Al/system_metadata.yaml,14,0,3,298,"coordination_number,mean_metal_oxygen_distance"
6,hans_interface_ss_plus_if_u02,designed_candidate,best_remaining_designed_candidate,hans_interface_ss_plus_if_u02,hans_interface_8fnr_a_b_c_d,hans_interface_multichain,Fe,results/ligandmpnn_smoke/hans_interface_ss_plus_if_u02/packed/hans_interface_ss_plus_if_u02_packed_2_1.pdb,results/ligandmpnn_smoke/hans_interface_ss_plus_if_u02/packed/hans_interface_ss_plus_if_u02_packed_2_1.pdb,results/md_inputs/hans_interface_ss_plus_if_u02/Fe/starting_structure.pdb,results/md_inputs/hans_interface_ss_plus_if_u02/Fe/system_metadata.yaml,14,0,3,298,"coordination_number,mean_metal_oxygen_distance"
