panel_member_id,target_metal,topology_class,replicate_id,seed,success_status,failure_reason,mean_temperature_K,final_temperature_K,mean_box_volume_nm3,mean_min_metal_oxygen_distance_A,inner_sphere_occupancy_fraction,state_data_path,final_state_path,final_structure_path,screening_log_path,trajectory_path
am1_mex_ss_only_u02,Nd,am1_monomer,3,103,success,,297.29837262735134,290.8676108831246,161.78629427933635,2.3000542496484324,1.0,results/openmm_screening/am1_mex_ss_only_u02/Nd/replicate_3/state_data.csv,results/openmm_screening/am1_mex_ss_only_u02/Nd/replicate_3/final_state.xml,results/openmm_screening/am1_mex_ss_only_u02/Nd/replicate_3/final_structure.pdb,results/openmm_screening/am1_mex_ss_only_u02/Nd/replicate_3/screening_log.txt,results/openmm_screening/am1_mex_ss_only_u02/Nd/replicate_3/trajectory.dcd
am1_mex_ss_only_u02,Y,am1_monomer,1,101,success,,297.056600780475,295.7445712245723,152.67465748875622,2.197012559581746,1.0,results/openmm_screening/am1_mex_ss_only_u02/Y/replicate_1/state_data.csv,results/openmm_screening/am1_mex_ss_only_u02/Y/replicate_1/final_state.xml,results/openmm_screening/am1_mex_ss_only_u02/Y/replicate_1/final_structure.pdb,results/openmm_screening/am1_mex_ss_only_u02/Y/replicate_1/screening_log.txt,results/openmm_screening/am1_mex_ss_only_u02/Y/replicate_1/trajectory.dcd
am1_mex_ss_only_u02,Y,am1_monomer,2,102,success,,299.66055980099554,297.9138877781666,154.9585930148981,2.19501295183382,1.0,results/openmm_screening/am1_mex_ss_only_u02/Y/replicate_2/state_data.csv,results/openmm_screening/am1_mex_ss_only_u02/Y/replicate_2/final_state.xml,results/openmm_screening/am1_mex_ss_only_u02/Y/replicate_2/final_structure.pdb,results/openmm_screening/am1_mex_ss_only_u02/Y/replicate_2/screening_log.txt,results/openmm_screening/am1_mex_ss_only_u02/Y/replicate_2/trajectory.dcd
am1_mex_ss_only_u02,Y,am1_monomer,3,103,success,,297.14874269846814,298.5216352922469,166.8348509581108,2.198837743905271,1.0,results/openmm_screening/am1_mex_ss_only_u02/Y/replicate_3/state_data.csv,results/openmm_screening/am1_mex_ss_only_u02/Y/replicate_3/final_state.xml,results/openmm_screening/am1_mex_ss_only_u02/Y/replicate_3/final_structure.pdb,results/openmm_screening/am1_mex_ss_only_u02/Y/replicate_3/screening_log.txt,results/openmm_screening/am1_mex_ss_only_u02/Y/replicate_3/trajectory.dcd
am1_mex_wt_reference,Al,am1_monomer,1,101,success,,297.370997896204,288.5203091531627,172.73943994981357,1.7239183606988169,1.0,results/openmm_screening/am1_mex_wt_reference/Al/replicate_1/state_data.csv,results/openmm_screening/am1_mex_wt_reference/Al/replicate_1/final_state.xml,results/openmm_screening/am1_mex_wt_reference/Al/replicate_1/final_structure.pdb,results/openmm_screening/am1_mex_wt_reference/Al/replicate_1/screening_log.txt,results/openmm_screening/am1_mex_wt_reference/Al/replicate_1/trajectory.dcd
am1_mex_wt_reference,Al,am1_monomer,2,102,success,,298.87361198240205,302.48263683648014,173.61737680570602,1.724824206730195,1.0,results/openmm_screening/am1_mex_wt_reference/Al/replicate_2/state_data.csv,results/openmm_screening/am1_mex_wt_reference/Al/replicate_2/final_state.xml,results/openmm_screening/am1_mex_wt_reference/Al/replicate_2/final_structure.pdb,results/openmm_screening/am1_mex_wt_reference/Al/replicate_2/screening_log.txt,results/openmm_screening/am1_mex_wt_reference/Al/replicate_2/trajectory.dcd
am1_mex_wt_reference,Al,am1_monomer,3,103,success,,297.3793633381915,286.741969893523,181.1948644273303,1.7248473538886326,1.0,results/openmm_screening/am1_mex_wt_reference/Al/replicate_3/state_data.csv,results/openmm_screening/am1_mex_wt_reference/Al/replicate_3/final_state.xml,results/openmm_screening/am1_mex_wt_reference/Al/replicate_3/final_structure.pdb,results/openmm_screening/am1_mex_wt_reference/Al/replicate_3/screening_log.txt,results/openmm_screening/am1_mex_wt_reference/Al/replicate_3/trajectory.dcd
am1_mex_wt_reference,Dy,am1_monomer,1,101,success,,297.7656621640168,312.4302498126629,171.78913770047663,2.206101762839973,1.0,results/openmm_screening/am1_mex_wt_reference/Dy/replicate_1/state_data.csv,results/openmm_screening/am1_mex_wt_reference/Dy/replicate_1/final_state.xml,results/openmm_screening/am1_mex_wt_reference/Dy/replicate_1/final_structure.pdb,results/openmm_screening/am1_mex_wt_reference/Dy/replicate_1/screening_log.txt,results/openmm_screening/am1_mex_wt_reference/Dy/replicate_1/trajectory.dcd
am1_mex_wt_reference,Dy,am1_monomer,2,102,success,,297.6806375571461,301.13537444107305,166.26271750719846,2.203971268535684,1.0,results/openmm_screening/am1_mex_wt_reference/Dy/replicate_2/state_data.csv,results/openmm_screening/am1_mex_wt_reference/Dy/replicate_2/final_state.xml,results/openmm_screening/am1_mex_wt_reference/Dy/replicate_2/final_structure.pdb,results/openmm_screening/am1_mex_wt_reference/Dy/replicate_2/screening_log.txt,results/openmm_screening/am1_mex_wt_reference/Dy/replicate_2/trajectory.dcd
am1_mex_wt_reference,Dy,am1_monomer,3,103,success,,298.0535169065282,287.52159305459526,183.79749110612426,2.2015717416998313,1.0,results/openmm_screening/am1_mex_wt_reference/Dy/replicate_3/state_data.csv,results/openmm_screening/am1_mex_wt_reference/Dy/replicate_3/final_state.xml,results/openmm_screening/am1_mex_wt_reference/Dy/replicate_3/final_structure.pdb,results/openmm_screening/am1_mex_wt_reference/Dy/replicate_3/screening_log.txt,results/openmm_screening/am1_mex_wt_reference/Dy/replicate_3/trajectory.dcd
am1_mex_wt_reference,Fe,am1_monomer,1,101,success,,296.31012732853145,290.6403568936345,186.66323827938396,1.9354124628822773,1.0,results/openmm_screening/am1_mex_wt_reference/Fe/replicate_1/state_data.csv,results/openmm_screening/am1_mex_wt_reference/Fe/replicate_1/final_state.xml,results/openmm_screening/am1_mex_wt_reference/Fe/replicate_1/final_structure.pdb,results/openmm_screening/am1_mex_wt_reference/Fe/replicate_1/screening_log.txt,results/openmm_screening/am1_mex_wt_reference/Fe/replicate_1/trajectory.dcd
am1_mex_wt_reference,Fe,am1_monomer,2,102,success,,298.7655685505933,299.93559118624313,208.75057627302897,1.9353178227676355,1.0,results/openmm_screening/am1_mex_wt_reference/Fe/replicate_2/state_data.csv,results/openmm_screening/am1_mex_wt_reference/Fe/replicate_2/final_state.xml,results/openmm_screening/am1_mex_wt_reference/Fe/replicate_2/final_structure.pdb,results/openmm_screening/am1_mex_wt_reference/Fe/replicate_2/screening_log.txt,results/openmm_screening/am1_mex_wt_reference/Fe/replicate_2/trajectory.dcd
am1_mex_wt_reference,Fe,am1_monomer,3,103,success,,297.626772362086,295.897599516889,214.11459607693595,1.9329932252220845,1.0,results/openmm_screening/am1_mex_wt_reference/Fe/replicate_3/state_data.csv,results/openmm_screening/am1_mex_wt_reference/Fe/replicate_3/final_state.xml,results/openmm_screening/am1_mex_wt_reference/Fe/replicate_3/final_structure.pdb,results/openmm_screening/am1_mex_wt_reference/Fe/replicate_3/screening_log.txt,results/openmm_screening/am1_mex_wt_reference/Fe/replicate_3/trajectory.dcd
am1_mex_wt_reference,Nd,am1_monomer,1,101,success,,296.8752497120859,313.3827594309102,209.66334931212808,2.3016830069912757,1.0,results/openmm_screening/am1_mex_wt_reference/Nd/replicate_1/state_data.csv,results/openmm_screening/am1_mex_wt_reference/Nd/replicate_1/final_state.xml,results/openmm_screening/am1_mex_wt_reference/Nd/replicate_1/final_structure.pdb,results/openmm_screening/am1_mex_wt_reference/Nd/replicate_1/screening_log.txt,results/openmm_screening/am1_mex_wt_reference/Nd/replicate_1/trajectory.dcd
am1_mex_wt_reference,Nd,am1_monomer,2,102,success,,298.9126245645773,295.66588117560497,174.5366181542231,2.3031630915572316,1.0,results/openmm_screening/am1_mex_wt_reference/Nd/replicate_2/state_data.csv,results/openmm_screening/am1_mex_wt_reference/Nd/replicate_2/final_state.xml,results/openmm_screening/am1_mex_wt_reference/Nd/replicate_2/final_structure.pdb,results/openmm_screening/am1_mex_wt_reference/Nd/replicate_2/screening_log.txt,results/openmm_screening/am1_mex_wt_reference/Nd/replicate_2/trajectory.dcd
am1_mex_wt_reference,Nd,am1_monomer,3,103,success,,298.96581005746737,290.0479639493461,171.29864953221022,2.303501419929214,1.0,results/openmm_screening/am1_mex_wt_reference/Nd/replicate_3/state_data.csv,results/openmm_screening/am1_mex_wt_reference/Nd/replicate_3/final_state.xml,results/openmm_screening/am1_mex_wt_reference/Nd/replicate_3/final_structure.pdb,results/openmm_screening/am1_mex_wt_reference/Nd/replicate_3/screening_log.txt,results/openmm_screening/am1_mex_wt_reference/Nd/replicate_3/trajectory.dcd
am1_mex_wt_reference,Y,am1_monomer,1,101,success,,297.6000689835965,295.22794268480396,173.63768254225604,2.1947280476496607,1.0,results/openmm_screening/am1_mex_wt_reference/Y/replicate_1/state_data.csv,results/openmm_screening/am1_mex_wt_reference/Y/replicate_1/final_state.xml,results/openmm_screening/am1_mex_wt_reference/Y/replicate_1/final_structure.pdb,results/openmm_screening/am1_mex_wt_reference/Y/replicate_1/screening_log.txt,results/openmm_screening/am1_mex_wt_reference/Y/replicate_1/trajectory.dcd
am1_mex_wt_reference,Y,am1_monomer,2,102,success,,297.8384809976525,285.11455462924306,149.6850183002377,2.1940797331129143,1.0,results/openmm_screening/am1_mex_wt_reference/Y/replicate_2/state_data.csv,results/openmm_screening/am1_mex_wt_reference/Y/replicate_2/final_state.xml,results/openmm_screening/am1_mex_wt_reference/Y/replicate_2/final_structure.pdb,results/openmm_screening/am1_mex_wt_reference/Y/replicate_2/screening_log.txt,results/openmm_screening/am1_mex_wt_reference/Y/replicate_2/trajectory.dcd
am1_mex_wt_reference,Y,am1_monomer,3,103,success,,298.5258551048353,287.37244723511805,167.02576584255377,2.1910726341520443,1.0,results/openmm_screening/am1_mex_wt_reference/Y/replicate_3/state_data.csv,results/openmm_screening/am1_mex_wt_reference/Y/replicate_3/final_state.xml,results/openmm_screening/am1_mex_wt_reference/Y/replicate_3/final_structure.pdb,results/openmm_screening/am1_mex_wt_reference/Y/replicate_3/screening_log.txt,results/openmm_screening/am1_mex_wt_reference/Y/replicate_3/trajectory.dcd
hans_pocket_ss_only_u02,Al,hans_monomer,1,101,success,,299.09583581796124,313.644038072398,200.79127515922522,1.7210732591070441,1.0,results/openmm_screening/hans_pocket_ss_only_u02/Al/replicate_1/state_data.csv,results/openmm_screening/hans_pocket_ss_only_u02/Al/replicate_1/final_state.xml,results/openmm_screening/hans_pocket_ss_only_u02/Al/replicate_1/final_structure.pdb,results/openmm_screening/hans_pocket_ss_only_u02/Al/replicate_1/screening_log.txt,results/openmm_screening/hans_pocket_ss_only_u02/Al/replicate_1/trajectory.dcd
hans_pocket_ss_only_u02,Al,hans_monomer,2,102,success,,298.4670906050412,299.01086941433755,190.62810890443635,1.72256693099596,1.0,results/openmm_screening/hans_pocket_ss_only_u02/Al/replicate_2/state_data.csv,results/openmm_screening/hans_pocket_ss_only_u02/Al/replicate_2/final_state.xml,results/openmm_screening/hans_pocket_ss_only_u02/Al/replicate_2/final_structure.pdb,results/openmm_screening/hans_pocket_ss_only_u02/Al/replicate_2/screening_log.txt,results/openmm_screening/hans_pocket_ss_only_u02/Al/replicate_2/trajectory.dcd
hans_pocket_ss_only_u02,Al,hans_monomer,3,103,success,,298.70646142007917,293.782948242447,180.49870491982762,1.7236289826981304,1.0,results/openmm_screening/hans_pocket_ss_only_u02/Al/replicate_3/state_data.csv,results/openmm_screening/hans_pocket_ss_only_u02/Al/replicate_3/final_state.xml,results/openmm_screening/hans_pocket_ss_only_u02/Al/replicate_3/final_structure.pdb,results/openmm_screening/hans_pocket_ss_only_u02/Al/replicate_3/screening_log.txt,results/openmm_screening/hans_pocket_ss_only_u02/Al/replicate_3/trajectory.dcd
hans_pocket_ss_only_u02,Dy,hans_monomer,1,101,success,,297.14526393649373,291.873821674574,192.7447371269913,2.211825420266228,1.0,results/openmm_screening/hans_pocket_ss_only_u02/Dy/replicate_1/state_data.csv,results/openmm_screening/hans_pocket_ss_only_u02/Dy/replicate_1/final_state.xml,results/openmm_screening/hans_pocket_ss_only_u02/Dy/replicate_1/final_structure.pdb,results/openmm_screening/hans_pocket_ss_only_u02/Dy/replicate_1/screening_log.txt,results/openmm_screening/hans_pocket_ss_only_u02/Dy/replicate_1/trajectory.dcd
