campaign_id,backbone_id,backbone_structure_id,design_set_name,designed_chains,fixed_context_chains,generated_sequence_count,unique_sequence_count,unique_sequence_fraction,sequence_length,native_score,native_global_score,mean_pairwise_identity,min_pairwise_identity,max_pairwise_identity,model_name,git_hash,seed,output_fasta_path
am1_mex_ss_only,am1_mex_8fns_chain_a,8FNS,campaign_ss_only,A,,40,9,0.225,105,1.182,1.0701,0.9887789987790069,0.9619047619047619,1.0,v_48_020,8907e6671bfbfc92303b5f79c4b5e6ce47cdef57,37,results/proteinmpnn_smoke/am1_mex_ss_only/seqs/am1_mex_ss_only.fa
hans_interface_if_only,hans_interface_8fnr_a_b_c_d,8FNR,campaign_if_only,A,"B,C,D",40,10,0.25,110,0.9551,1.3837,0.9883799533799605,0.9636363636363636,1.0,v_48_020,8907e6671bfbfc92303b5f79c4b5e6ce47cdef57,37,results/proteinmpnn_smoke/hans_interface_if_only/seqs/hans_interface_if_only.fa
hans_interface_ss_plus_if,hans_interface_8fnr_a_b_c_d,8FNR,campaign_ss_plus_if,A,"B,C,D",40,16,0.4,110,0.9655,1.3875,0.9847785547785634,0.9454545454545454,1.0,v_48_020,8907e6671bfbfc92303b5f79c4b5e6ce47cdef57,37,results/proteinmpnn_smoke/hans_interface_ss_plus_if/seqs/hans_interface_ss_plus_if.fa
hans_pocket_ss_only,hans_pocket_8fnr_chain_a,8FNR,campaign_ss_only,A,,40,9,0.225,110,1.067,1.567,0.9944522144522184,0.9818181818181818,1.0,v_48_020,8907e6671bfbfc92303b5f79c4b5e6ce47cdef57,37,results/proteinmpnn_smoke/hans_pocket_ss_only/seqs/hans_pocket_ss_only.fa
