stage_name,status,attempt_index,minimization_max_iterations,step_count,duration_ps,potential_energy_kj_per_mol,temperature_K,box_volume_nm3,notes
minimization,success,1,200,0,0.0,-106833.52304452742,,,platform=CPU; properties=Threads=16; temperature_target_K=298; pressure_atm=1.0; periodicized_npt_box_nm=8.524x7.881x8.856; nonbonded_periodicized=True
nvt,success,1,200,10000,20.0,-101214.48560327177,302.06565451271564,,platform=CPU; properties=Threads=16; temperature_target_K=298; pressure_atm=1.0; periodicized_npt_box_nm=8.524x7.881x8.856; nonbonded_periodicized=True
npt,success,1,200,10000,20.0,-37686.590002027915,299.45112969044175,579.1424862072897,platform=CPU; properties=Threads=16; temperature_target_K=298; pressure_atm=1.0; periodicized_npt_box_nm=8.524x7.881x8.856; nonbonded_periodicized=True
