stage_name,status,attempt_index,minimization_max_iterations,step_count,duration_ps,potential_energy_kj_per_mol,temperature_K,box_volume_nm3,notes
minimization,success,1,200,0,0.0,-96569.56068210816,,,platform=CPU; properties=Threads=16; temperature_target_K=298; pressure_atm=1.0; periodicized_npt_box_nm=7.895x7.976x8.721; nonbonded_periodicized=True
nvt,success,1,200,10000,20.0,-90070.1442484794,299.6997981231344,,platform=CPU; properties=Threads=16; temperature_target_K=298; pressure_atm=1.0; periodicized_npt_box_nm=7.895x7.976x8.721; nonbonded_periodicized=True
npt,success,1,200,10000,20.0,-25989.396729686196,296.16285832873245,520.3570877758988,platform=CPU; properties=Threads=16; temperature_target_K=298; pressure_atm=1.0; periodicized_npt_box_nm=7.895x7.976x8.721; nonbonded_periodicized=True
