stage_name,status,attempt_index,minimization_max_iterations,step_count,duration_ps,potential_energy_kj_per_mol,temperature_K,box_volume_nm3,notes
minimization,success,1,200,0,0.0,-96666.45930716959,,,platform=CPU; properties=Threads=16; temperature_target_K=298; pressure_atm=1.0; periodicized_npt_box_nm=7.971x7.734x8.959; nonbonded_periodicized=True
nvt,success,1,200,10000,20.0,-89365.48880099418,299.52008327960283,,platform=CPU; properties=Threads=16; temperature_target_K=298; pressure_atm=1.0; periodicized_npt_box_nm=7.971x7.734x8.959; nonbonded_periodicized=True
npt,success,1,200,10000,20.0,-24314.715351514544,297.1857120082254,527.9536545933781,platform=CPU; properties=Threads=16; temperature_target_K=298; pressure_atm=1.0; periodicized_npt_box_nm=7.971x7.734x8.959; nonbonded_periodicized=True
