stage_name,status,attempt_index,minimization_max_iterations,step_count,duration_ps,potential_energy_kj_per_mol,temperature_K,box_volume_nm3,notes
minimization,success,1,200,0,0.0,-31487.19103006417,,,platform=CPU; properties=Threads=16; temperature_target_K=298; pressure_atm=1.0; periodicized_npt_box_nm=6.103x5.548x6.184; nonbonded_periodicized=True
nvt,success,1,200,10000,20.0,-29287.683567624677,287.2676992121117,,platform=CPU; properties=Threads=16; temperature_target_K=298; pressure_atm=1.0; periodicized_npt_box_nm=6.103x5.548x6.184; nonbonded_periodicized=True
npt,success,1,200,10000,20.0,-10209.751992674765,293.9077838117482,203.55521939720114,platform=CPU; properties=Threads=16; temperature_target_K=298; pressure_atm=1.0; periodicized_npt_box_nm=6.103x5.548x6.184; nonbonded_periodicized=True
