#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
500,1.0000000000000007,-36770.586545784376,20559.765311739968,-16210.821234044408,296.1934950193104,569.1552408165851
1000,2.0000000000000013,-37140.77515270698,20479.264462270417,-16661.51069043656,295.0337625226172,570.1621676690215
1500,2.999999999999891,-36711.40974372214,20590.33650670647,-16121.073237015673,296.63391780365384,566.8576494069416
2000,3.999999999999781,-37197.37955006794,20871.434255504675,-16325.945294563266,300.6835420768968,565.6770358441972
2500,4.999999999999671,-36777.26955558412,20602.199913136934,-16175.069642447186,296.8048275275828,563.7907168608372
3000,5.999999999999561,-37183.229317941994,20540.235779145136,-16642.993538796858,295.9121435336466,561.452410884498
3500,6.999999999999451,-36686.6396665432,20953.25532527478,-15733.384341268418,301.8622942782941,565.8080970190169
4000,7.999999999999341,-36675.939596427925,20677.05976462116,-15998.879831806764,297.88329319640434,564.7874435984351
4500,8.999999999999675,-37091.980603570526,20856.541568527387,-16235.439035043139,300.4689911353297,564.2682536493052
5000,10.000000000000009,-37048.43333999761,20571.318328368907,-16477.115011628703,296.35993312409687,558.9958306343642
5500,11.000000000000343,-37256.87286304542,20729.90002872749,-16526.97283431793,298.64453449785344,555.7388988636449
6000,12.000000000000677,-36956.78059712015,20444.99979180984,-16511.78080531031,294.54012982080775,550.4152566790358
6500,13.00000000000101,-36622.40239338564,20585.038730479653,-16037.363662905984,296.557595587293,545.1688227845351
7000,14.000000000001345,-37348.27525885057,20886.45094743796,-16461.82431141261,300.89987949125475,543.8984532947137
7500,15.000000000001679,-36970.97785701426,20538.654970647396,-16432.322886366863,295.88936967476235,549.5341480850024
8000,16.00000000000201,-37143.995745523745,20883.452886459767,-16260.542859063979,300.8566880371721,546.7688829506105
8500,17.000000000001457,-37185.94310289995,20577.55376035216,-16608.389342547795,296.44976364327215,543.5732898187944
9000,18.000000000000902,-36807.95505842773,20812.7005148159,-15995.25454361183,299.8373966240481,540.8244414075573
9500,19.000000000000348,-37177.085122155986,20686.09771826613,-16490.987403889856,298.01349813976515,540.3035805977412
10000,19.999999999999794,-37035.836949062796,20197.740551656683,-16838.096397406112,290.97799876501387,541.3123696970208
10500,20.99999999999924,-37166.03694375516,20336.075388667006,-16829.961555088157,292.9709144542614,539.187200631655
11000,21.999999999998685,-37366.65677822112,20980.26333058037,-16386.393447640752,302.25138410318596,536.5912359639264
11500,22.99999999999813,-36882.96195411799,20499.032716279944,-16383.929237838049,295.3185531394716,533.8833462727068
12000,23.999999999997577,-37039.88125993338,20586.984961359736,-16452.896298573647,296.5856338901503,533.4433739838535
12500,24.999999999997023,-36966.32746864519,20955.567570361643,-16010.759898283548,301.89560555122137,530.5448563940065
13000,25.99999999999647,-36936.17859913139,20779.14730044465,-16157.03129868674,299.35401348795364,529.3513140628553
13500,26.999999999995914,-37061.731961190955,20725.043117249486,-16336.688843941469,298.5745635831151,533.5210343462536
14000,27.99999999999536,-37147.59699716109,20575.10459195886,-16572.49240520223,296.4144797898184,531.7568602994305
14500,28.999999999994806,-37150.493747391476,20848.57172890152,-16301.922018489957,300.3541739368969,530.7105806609652
15000,29.99999999999425,-37156.721759987784,20058.648253126823,-17098.07350686096,288.9741707345302,531.8216107599313
15500,30.999999999993697,-36968.60703712095,20634.739546934896,-16333.867490186054,297.27360855280995,530.1221319434667
16000,31.999999999993143,-37146.336385353185,20478.98760410861,-16667.348781244575,295.02977397579645,528.8639189372154
16500,32.999999999994365,-37255.839289008014,20795.894624237295,-16459.94466477072,299.595283185888,526.2614796467225
17000,33.99999999999559,-36798.54527950416,20424.763663264665,-16373.781616239492,294.24859878684043,527.98779801219
17500,34.99999999999681,-37373.45781377639,20826.906385454902,-16546.551428321487,300.0420529715578,529.5949013034304
18000,35.99999999999803,-37426.2229410933,20641.076917777424,-16785.146023315876,297.36490765037354,526.1036346217627
18500,36.999999999999254,-37374.491250606494,20702.43320052242,-16672.058050084073,298.2488346579088,525.7779328169232
19000,38.000000000000476,-37181.657529538556,20702.98708458699,-16478.670444951567,298.25681416810426,526.6031933670263
19500,39.0000000000017,-37046.68942826775,20855.664905937563,-16191.02452233019,300.4563615283038,520.5519472503732
20000,40.00000000000292,-37160.47517065424,20896.902053733815,-16263.573116920423,301.0504429657716,514.2047310476117
20500,41.00000000000414,-36995.30924067569,21016.762219615084,-15978.547021060607,302.7772039918664,513.5643815260743
21000,42.000000000005365,-37434.74032376377,20833.899215794045,-16600.841107969725,300.14279492200427,513.3481276150777
21500,43.00000000000659,-37307.32709437616,20936.611214819917,-16370.715879556243,301.62251151947544,512.6764583364333
22000,44.00000000000781,-37021.18725111379,20702.819947611035,-16318.367303502757,298.25440631547053,513.4127059721108
22500,45.00000000000903,-37337.886163168805,20806.603009724702,-16531.283153444103,299.7495531435182,514.8102987297895
23000,46.00000000001025,-37372.87380434443,20750.103572861033,-16622.7702314834,298.93559610570526,512.7624362609919
23500,47.000000000011475,-37471.33346214388,20880.207235778027,-16591.12622636585,300.8099296912251,512.0924454903984
24000,48.0000000000127,-37113.66232965124,20305.822950912665,-16807.839378738576,292.53508383385076,513.0052436857779
24500,49.00000000001392,-37395.49442197659,20672.08495745644,-16723.409464520148,297.81162382183595,510.5611796251559
25000,50.00000000001514,-37205.38799163032,20620.55898922398,-16584.82900240634,297.0693168750581,508.8552035496278
25500,51.000000000016364,-37160.859956742126,21148.50492647838,-16012.355030263745,304.6751504030962,508.15989112361336
26000,52.000000000017586,-36621.61831103073,20655.376897846178,-15966.241413184554,297.5709197818862,506.13807416172676
26500,53.00000000001881,-36830.26446565103,20705.29190331112,-16124.97256233991,298.29001845341276,504.6507241374506
27000,54.00000000002003,-37003.960295582816,20829.61097641703,-16174.349319165787,300.08101656075854,500.54322620495
27500,55.00000000002125,-37118.43282084583,20976.79927504739,-16141.633545798442,302.2014793158649,500.86983597867425
28000,56.000000000022474,-36882.47718941836,20821.916118785546,-16060.561070632812,299.9701608802103,500.14720043689937
28500,57.0000000000237,-37143.36439639592,20543.046355810842,-16600.318040585076,295.9526340019478,496.2487426377441
29000,58.00000000002492,-37109.55570647912,20831.050361016696,-16278.505345462425,300.10175300151,497.1532685373729
29500,59.00000000002614,-37031.790106074724,21071.82855848224,-15959.961547592484,303.5705151566425,498.85564014134627
30000,60.00000000002736,-37615.08563523933,20693.191452766412,-16921.89418247292,298.11569376225975,503.1766229603456
30500,61.000000000028585,-37447.9964554479,20343.723399040588,-17104.273056407314,293.0810952315294,505.5368634297619
