stage_name,status,attempt_index,minimization_max_iterations,step_count,duration_ps,potential_energy_kj_per_mol,temperature_K,box_volume_nm3,notes
minimization,success,1,200,0,0.0,-27138.056592585275,,,platform=CPU; properties=Threads=16; temperature_target_K=298; pressure_atm=1.0; periodicized_npt_box_nm=4.847x5.832x5.926; nonbonded_periodicized=True
nvt,success,1,200,10000,20.0,-24980.560831798877,287.29601086440016,,platform=CPU; properties=Threads=16; temperature_target_K=298; pressure_atm=1.0; periodicized_npt_box_nm=4.847x5.832x5.926; nonbonded_periodicized=True
npt,success,1,200,10000,20.0,-4940.219682636274,309.69535510591714,163.26935250815256,platform=CPU; properties=Threads=16; temperature_target_K=298; pressure_atm=1.0; periodicized_npt_box_nm=4.847x5.832x5.926; nonbonded_periodicized=True
