candidate_id,candidate_label,metal,replica_id,seed,production_duration_ps,screened_frame_count,metal_atom_count,mean_min_metal_oxygen_distance_A,inner_sphere_cutoff_A,inner_sphere_occupancy_fraction,source_path
hans_interface_ss_plus_if_u04_r2u01,Hans interface,Al,2,102,100.0,100,4,1.720473,3.2,1.000000,results/round2_openmm_screening/hans_interface_ss_plus_if_u04_r2u01/Al/replicate_2/screening_log.txt
hans_interface_ss_plus_if_u04_r2u01,Hans interface,Al,3,103,100.0,100,4,1.721261,3.2,1.000000,results/round2_openmm_screening/hans_interface_ss_plus_if_u04_r2u01/Al/replicate_3/screening_log.txt
hans_interface_ss_plus_if_u04_r2u01,Hans interface,Fe,1,101,100.0,100,4,1.930395,3.2,1.000000,results/round2_openmm_screening/hans_interface_ss_plus_if_u04_r2u01/Fe/replicate_1/screening_log.txt
hans_interface_ss_plus_if_u04_r2u01,Hans interface,Fe,2,102,100.0,100,4,1.931583,3.2,1.000000,results/round2_openmm_screening/hans_interface_ss_plus_if_u04_r2u01/Fe/replicate_2/screening_log.txt
hans_interface_ss_plus_if_u04_r2u01,Hans interface,Fe,3,103,100.0,100,4,1.931271,3.2,1.000000,results/round2_openmm_screening/hans_interface_ss_plus_if_u04_r2u01/Fe/replicate_3/screening_log.txt
am1_mex_ss_only_u02_r2u02,AM1/Mex,Dy,1,101,100.0,100,4,2.201751,3.2,1.000000,results/round2_openmm_screening/am1_mex_ss_only_u02_r2u02/Dy/replicate_1/screening_log.txt
am1_mex_ss_only_u02_r2u02,AM1/Mex,Dy,2,102,100.0,100,4,2.202536,3.2,1.000000,results/round2_openmm_screening/am1_mex_ss_only_u02_r2u02/Dy/replicate_2/screening_log.txt
am1_mex_ss_only_u02_r2u02,AM1/Mex,Dy,3,103,100.0,100,4,2.196603,3.2,1.000000,results/round2_openmm_screening/am1_mex_ss_only_u02_r2u02/Dy/replicate_3/screening_log.txt
am1_mex_ss_only_u02_r2u02,AM1/Mex,Nd,1,101,100.0,100,4,2.300359,3.2,1.000000,results/round2_openmm_screening/am1_mex_ss_only_u02_r2u02/Nd/replicate_1/screening_log.txt
am1_mex_ss_only_u02_r2u02,AM1/Mex,Nd,2,102,100.0,100,4,2.301707,3.2,1.000000,results/round2_openmm_screening/am1_mex_ss_only_u02_r2u02/Nd/replicate_2/screening_log.txt
am1_mex_ss_only_u02_r2u02,AM1/Mex,Nd,3,103,100.0,100,4,2.304425,3.2,1.000000,results/round2_openmm_screening/am1_mex_ss_only_u02_r2u02/Nd/replicate_3/screening_log.txt
am1_mex_ss_only_u02_r2u02,AM1/Mex,Y,1,101,100.0,100,4,2.188296,3.2,1.000000,results/round2_openmm_screening/am1_mex_ss_only_u02_r2u02/Y/replicate_1/screening_log.txt
am1_mex_ss_only_u02_r2u02,AM1/Mex,Y,2,102,100.0,100,4,2.183940,3.2,1.000000,results/round2_openmm_screening/am1_mex_ss_only_u02_r2u02/Y/replicate_2/screening_log.txt
am1_mex_ss_only_u02_r2u02,AM1/Mex,Y,3,103,100.0,100,4,2.185430,3.2,1.000000,results/round2_openmm_screening/am1_mex_ss_only_u02_r2u02/Y/replicate_3/screening_log.txt
am1_mex_ss_only_u02_r2u02,AM1/Mex,Al,1,101,100.0,100,4,1.714569,3.2,1.000000,results/round2_openmm_screening/am1_mex_ss_only_u02_r2u02/Al/replicate_1/screening_log.txt
am1_mex_ss_only_u02_r2u02,AM1/Mex,Al,2,102,100.0,100,4,1.715489,3.2,1.000000,results/round2_openmm_screening/am1_mex_ss_only_u02_r2u02/Al/replicate_2/screening_log.txt
am1_mex_ss_only_u02_r2u02,AM1/Mex,Al,3,103,100.0,100,4,1.714316,3.2,1.000000,results/round2_openmm_screening/am1_mex_ss_only_u02_r2u02/Al/replicate_3/screening_log.txt
am1_mex_ss_only_u02_r2u02,AM1/Mex,Fe,1,101,100.0,100,4,1.930376,3.2,1.000000,results/round2_openmm_screening/am1_mex_ss_only_u02_r2u02/Fe/replicate_1/screening_log.txt
am1_mex_ss_only_u02_r2u02,AM1/Mex,Fe,2,102,100.0,100,4,1.926456,3.2,1.000000,results/round2_openmm_screening/am1_mex_ss_only_u02_r2u02/Fe/replicate_2/screening_log.txt
am1_mex_ss_only_u02_r2u02,AM1/Mex,Fe,3,103,100.0,100,4,1.923507,3.2,1.000000,results/round2_openmm_screening/am1_mex_ss_only_u02_r2u02/Fe/replicate_3/screening_log.txt
